order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3305171,Sale,2024-02-04,#3305171,6640938680398,,2024-02-04,2024-02-07,,
#3305172,Sale,2024-02-04,#3305172,6640938713166,,2024-02-04,2024-02-09,,
#3305173,Sale,2024-02-04,#3305173,6640939761742,,2024-02-04,2024-02-07,,
#3305174,Sale,2024-02-04,#3305174,6638818099278,,2024-02-04,,,
#3305175,Sale,2024-02-04,#3305175,6640940580942,,2024-02-04,2024-02-08,,
#3305176,Sale,2024-02-04,#3305176,6640941563982,,2024-02-04,2024-02-07,,
#3305177,Sale,2024-02-04,#3305177,6640936452174,,2024-02-04,2024-02-08,,
#3305178,Sale,2024-02-04,#3305178,5325749911630,,2024-02-04,2024-02-08,,
#3305179,Sale,2024-02-04,#3305179,6597555912782,,2024-02-04,2024-02-09,,
#3305180,Sale,2024-02-04,#3305180,6640942350414,,2024-02-04,2024-02-08,,
#3305182,Sale,2024-02-04,#3305182,6640940875854,,2024-02-04,2024-02-08,,
#3305183,Sale,2024-02-04,#3305183,6640943890510,,2024-02-04,2024-02-09,,
#3305184,Sale,2024-02-04,#3305184,6640942874702,,2024-02-04,2024-02-06,,
#3305185,Sale,2024-02-04,#3305185,6133688434766,,2024-02-04,2024-02-07,,
#3305186,Sale,2024-02-04,#3305186,6640943693902,,2024-02-04,2024-02-08,,
#3305187,Sale,2024-02-04,#3305187,6640947363918,,2024-02-04,2024-02-09,,
#3305188,Sale,2024-02-04,#3305188,6640948609102,,2024-02-04,2024-02-08,,
#3305189,Sale,2024-02-04,#3305189,6640944316494,,2024-02-04,2024-02-08,,
#3305190,Sale,2024-02-04,#3305190,6640947036238,,2024-02-04,2024-02-10,,
#3305191,Sale,2024-02-04,#3305191,6640948576334,,2024-02-04,2024-02-07,,
#3305192,Sale,2024-02-04,#3305192,6640949526606,,2024-02-04,2024-02-09,,
#3305193,Sale,2024-02-04,#3305193,6640943431758,,2024-02-04,2024-02-07,,
#3305194,Sale,2024-02-04,#3305194,6640950640718,,2024-02-04,2024-02-08,,
#3305195,Sale,2024-02-04,#3305195,6640950837326,,2024-02-04,2024-02-07,,
#3305196,Sale,2024-02-04,#3305196,6640951558222,,2024-02-04,2024-02-08,,
#3305197,Sale,2024-02-04,#3305197,6640951951438,,2024-02-04,2024-02-09,,
#3305198,Sale,2024-02-04,#3305198,3433605759054,,2024-02-04,2024-02-09,,
